stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
885,BRITA-Arena,GRASS,Natural grass,https://www.transfermarkt.com/sv-wehen-wiesbaden/stadion/verein/108,https://en.wikipedia.org/wiki/Brita-Arena,https://www.transfermarkt.com/sv-wehen-wiesbaden/stadion/verein/108,transfermarkt: surface mapped
388,BWT X Oberösterreichische Arena,GRASS,Natural grass,https://www.transfermarkt.com/sv-ried/stadion/verein/266,https://en.wikipedia.org/wiki/Keine_Sorgen_Arena,https://www.transfermarkt.com/sv-ried/stadion/verein/266,transfermarkt: surface mapped
440,Bahrain Victorious Nuevo Arcángel,GRASS,Natural grass,https://www.transfermarkt.com/cordoba-cf/stadion/verein/993,https://en.wikipedia.org/wiki/Estadio_Nuevo_Arc%C3%A1ngel,https://www.transfermarkt.com/cordoba-cf/stadion/verein/993,transfermarkt: surface mapped
987,Bajram Aliu Stadium,GRASS,"Natural grass Contact Address: Stadiumi ""Bajram Aliu"" 41000 Skenderaj Kosovo Pr",https://www.transfermarkt.com/kf-drenica/stadion/verein/19697,https://en.wikipedia.org/wiki/Bajram_Aliu_Stadium,https://www.transfermarkt.com/kf-drenica/stadion/verein/19697,transfermarkt fallback: surface mapped
792,Baku Olympic Stadium,GRASS,GrassMaster,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium,,wikipedia: surface mapped
1024,Ballymena Showgrounds,GRASS,Natural grass,https://www.transfermarkt.com/ballymena-united/stadion/verein/15244/saison_id/2025,https://en.wikipedia.org/wiki/Ballymena_Showgrounds,https://www.transfermarkt.com/ballymena-united/stadion/verein/15244/saison_id/2025,transfermarkt: surface mapped
850,Bank Respublika Arena,GRASS,"Natural grass Contact Address: Bank Respublika Arena Masazyr, Baku Azerbaijan P",https://www.transfermarkt.com/sabah-fk/stadion/verein/63993,https://en.wikipedia.org/wiki/Bank_Respublika_Arena,https://www.transfermarkt.com/sabah-fk/stadion/verein/63993,transfermarkt fallback: surface mapped
305,Başakşehir Fatih Terim,GRASS,Natural grass,https://www.transfermarkt.com/istanbul-basaksehir-fk/stadion/verein/6890,https://en.wikipedia.org/wiki/Ba%C5%9Fak%C5%9Fehir_Fatih_Terim_Stadium,https://www.transfermarkt.com/istanbul-basaksehir-fk/stadion/verein/6890,transfermarkt: surface mapped
924,Benfica Campus,GRASS,Natural grass,https://www.transfermarkt.com/benfica-lissabon-b/stadion/verein/10330,https://en.wikipedia.org/wiki/Benfica_Campus,https://www.transfermarkt.com/benfica-lissabon-b/stadion/verein/10330,transfermarkt: surface mapped
904,Bingoal Stadion,GRASS,Natural grass,https://www.transfermarkt.com/ado-den-haag/stadion/verein/1268,https://en.wikipedia.org/wiki/ADO_Den_Haag_Stadium,https://www.transfermarkt.com/ado-den-haag/stadion/verein/1268,transfermarkt: surface mapped
1001,Bloomfield Stadium,GRASS,Hybrid grass Contact Address: Bloomfield Hatehiya Str. 1 68139 Tel Aviv Israel,https://www.transfermarkt.com/maccabi-tel-aviv/stadion/verein/119,https://en.wikipedia.org/wiki/Bloomfield_Stadium,https://www.transfermarkt.com/maccabi-tel-aviv/stadion/verein/119,transfermarkt fallback: surface mapped
