id,name,country,page_lang,native_lang,owner_found,source,would_be,native_url,wikipedia_url
851,Shamakhi City Stadium,Azerbaijan,en,az,,none,UNKNOWN,https://az.wikipedia.org/wiki/%C5%9Eamax%C4%B1_%C5%9F%C9%99h%C9%99r_stadionu,https://en.wikipedia.org/wiki/Shamakhi_City_Stadium
852,Mehdi Huseynzade Stadium,Azerbaijan,en,az,,none,UNKNOWN,https://az.wikipedia.org/wiki/Mehdi_H%C3%BCseynzad%C9%99_ad%C4%B1na_Sumqay%C4%B1t_%C5%9F%C9%99h%C9%99r_stadionu,https://en.wikipedia.org/wiki/Sumgayit_City_Stadium
860,Fazisi Stadium,Georgia,en,ka,Government of Georgia,primary,PUBLIC,,https://en.wikipedia.org/wiki/Fazisi_Stadium
865,Heydar Aliyev Stadium,Azerbaijan,en,az,,none,UNKNOWN,https://az.wikipedia.org/wiki/%C4%B0mi%C5%9Fli_%C5%9F%C9%99h%C9%99r_stadionu,https://en.wikipedia.org/wiki/Heydar_Aliyev_Stadium
866,New Tivoli,Germany,en,de,Aachener Stadion Beteiligungsgesellschaft mbH (City of Aachen),primary,PUBLIC,,https://en.wikipedia.org/wiki/New_Tivoli
872,Dietmar-Hopp-Stadion,Germany,en,de,,none,UNKNOWN,https://de.wikipedia.org/wiki/Dietmar-Hopp-Stadion,https://en.wikipedia.org/wiki/Dietmar-Hopp-Stadion
882,WIRmachenDRUCK Arena,Germany,en,de,,none,UNKNOWN,https://de.wikipedia.org/wiki/WIRmachenDRUCK_Arena,https://en.wikipedia.org/wiki/WIRmachenDRUCK_Arena
884,Sportclub Arena,Germany,en,de,,none,UNKNOWN,https://de.wikipedia.org/wiki/Sportclub_Arena,https://en.wikipedia.org/wiki/Sportclub_Arena
893,Stade de Roudourou,France,en,fr,,none,UNKNOWN,https://fr.wikipedia.org/wiki/Stade_de_Roudourou,https://en.wikipedia.org/wiki/Stade_de_Roudourou
906,Cambuur Stadion,Netherlands,en,nl,,none,UNKNOWN,https://nl.wikipedia.org/wiki/Cambuurstadion,https://en.wikipedia.org/wiki/Cambuur_Stadion
908,Stadion De Vliert,Netherlands,en,nl,,none,UNKNOWN,https://nl.wikipedia.org/wiki/Stadion_De_Vliert,https://en.wikipedia.org/wiki/De_Vliert
911,De Oude Meerdijk,Netherlands,en,nl,,none,UNKNOWN,https://nl.wikipedia.org/wiki/De_Oude_Meerdijk,https://en.wikipedia.org/wiki/De_Oude_Meerdijk
912,GS Staalwerken Stadion,Netherlands,en,nl,Helmond Municipality OMO Scholengroep [ 1 ],primary,PUBLIC,,https://en.wikipedia.org/wiki/GS_Staalwerken_Stadion
913,Sportpark De Toekomst,Netherlands,en,nl,Ajax,primary,PRIVATE,,https://en.wikipedia.org/wiki/Sportpark_De_Toekomst
916,Sportcomplex Zoudenbalch,Netherlands,nl,nl,,none,UNKNOWN,,https://nl.wikipedia.org/wiki/Sportcomplex_Zoudenbalch
917,Stadion De Geusselt,Netherlands,en,nl,,none,UNKNOWN,https://nl.wikipedia.org/wiki/Stadion_De_Geusselt,https://en.wikipedia.org/wiki/De_Geusselt
922,Koning Willem II Stadion,Netherlands,en,nl,,none,UNKNOWN,https://nl.wikipedia.org/wiki/Koning_Willem_II_Stadion,https://en.wikipedia.org/wiki/Koning_Willem_II_Stadion
932,Estádio Carlos Osório,Portugal,en,pt,Oliveirense,primary,PRIVATE,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Carlos_Os%C3%B3rio
934,Estádio Municipal 25 de Abril,Portugal,en,pt,F.C. Penafiel,primary,PRIVATE,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Municipal_25_de_Abril
936,CTFD PortoGaia,Portugal,en,pt,Vila Nova de Gaia Municipality,primary,PUBLIC,,https://en.wikipedia.org/wiki/CTFD_PortoGaia
938,Estádio Manuel Marques,Portugal,en,pt,Municipality of Torres Vedras,primary,PUBLIC,,https://en.wikipedia.org/wiki/Est%C3%A1dio_Manuel_Marques
943,Estadio Román Suárez Puerta,Spain,en,es,Ayuntamiento de Avilés,native:es,PUBLIC,https://es.wikipedia.org/wiki/Estadio_Rom%C3%A1n_Su%C3%A1rez_Puerta,https://en.wikipedia.org/wiki/Estadio_Rom%C3%A1n_Su%C3%A1rez_Puerta
947,Estadio Pedro Escartín,Mexico,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Pedro_Escart%C3%ADn
948,Estadio Anxo Carro,Spain,en,es,Ayuntamiento de Lugo,native:es,PUBLIC,https://es.wikipedia.org/wiki/Estadio_%C3%81ngel_Carro,https://en.wikipedia.org/wiki/Estadio_Anxo_Carro
970,Estadio José Rico Pérez,Spain,en,es,,none,UNKNOWN,https://es.wikipedia.org/wiki/Jos%C3%A9_Rico_P%C3%A9rez,https://en.wikipedia.org/wiki/Jos%C3%A9_Rico_P%C3%A9rez
986,Suva Reka City Stadium,Kosovo,en,sq,,none,UNKNOWN,https://sq.wikipedia.org/wiki/KF_Ballkani,https://en.wikipedia.org/wiki/FC_Ballkani
990,Ferizaj City Stadium,Kosovo,en,sq,,none,UNKNOWN,https://sq.wikipedia.org/wiki/KF_Ferizaj,https://en.wikipedia.org/wiki/FC_Ferizaj
1003,Green Stadium,Israel,en,he,Municipality of Nof HaGalil,primary,PUBLIC,,"https://en.wikipedia.org/wiki/Green_Stadium,_Nof_HaGalil"
1006,Park Hall,England,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Park_Hall_(Oswestry)
1008,The Oval,Wales,en,,,none,UNKNOWN,,"https://en.wikipedia.org/wiki/The_Oval,_Caernarfon"
1011,Bridge Meadow,Wales,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Bridge_Meadow_Stadium
1012,Maes Tegid,Wales,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Maes_Tegid
1014,Cae-y-Castell,Wales,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Cae-y-Castell
1021,Inver Park,Northern Ireland,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Inver_Park
1022,The Showgrounds,Northern Ireland,en,,,none,UNKNOWN,,https://en.wikipedia.org/wiki/The_Showgrounds_(Coleraine)
1032,Bodrum District Stadium,Turkey,tr,tr,Gençlik ve Spor Bakanlığı,primary,PUBLIC,,https://tr.wikipedia.org/wiki/Bodrum_İlçe_Stadyumu
1033,Arsenal Stadium,Russia,en,ru,МО « Город Тула »,native:ru,PUBLIC,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB_%28%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD%2C_%D0%A2%D1%83%D0%BB%D0%B0%29,https://en.wikipedia.org/wiki/Arsenal_Stadium_(Tula)
1034,Chayka Stadium,Russia,ru,ru,,none,UNKNOWN,,https://ru.wikipedia.org/wiki/Центральный_стадион_имени_И._П._Чайки
1035,Central Stadium,Russia,ru,ru,,none,UNKNOWN,,"https://ru.wikipedia.org/wiki/Центральный_(стадион,_Челябинск)"
1038,Central Stadium,Russia,en,ru,,none,UNKNOWN,https://ru.wikipedia.org/wiki/%D0%9A%D0%90%D0%9C%D0%90%D0%97_%28%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD%29,https://en.wikipedia.org/wiki/KAMAZ_Stadium
1039,Neftekhimik Stadium,Russia,ru,ru,,none,UNKNOWN,,https://ru.wikipedia.org/wiki/Нефтехимик_(стадион)
1044,Lokomotiv Stadium,Russia,en,ru,Саратовская область,native:ru,PUBLIC,https://ru.wikipedia.org/wiki/%D0%9B%D0%BE%D0%BA%D0%BE%D0%BC%D0%BE%D1%82%D0%B8%D0%B2_%28%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD%2C_%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%29,https://en.wikipedia.org/wiki/Lokomotiv_Stadium_(Saratov)
1047,Neftyanik Stadium,Russia,en,ru,,none,UNKNOWN,,https://en.wikipedia.org/wiki/Neftyanik_Stadium_(Ufa)
1049,Trud Stadium,Russia,en,ru,,none,UNKNOWN,https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D0%B4_%28%D1%81%D1%82%D0%B0%D0%B4%D0%B8%D0%BE%D0%BD%2C_%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%29,https://en.wikipedia.org/wiki/Trud_Stadium_(Ulyanovsk)
1052,Çorum City Stadium,Turkey,tr,tr,Çorum FK,primary,PRIVATE,,https://tr.wikipedia.org/wiki/Çorum_Şehir_Stadyumu
1055,Fuat Tosyalı Stadium,Turkey,tr,tr,İskenderun Belediyesi,primary,PUBLIC,,https://tr.wikipedia.org/wiki/Fuat_Tosyalı_Stadyumu
1056,Iğdır City Stadium,Turkey,tr,tr,,none,UNKNOWN,,https://tr.wikipedia.org/wiki/Iğdır_Şehir_Stadyumu
1058,Ankara Aktepe Stadium,Turkey,en,tr,T.C. Gençlik ve Spor Bakanlığı,native:tr,PUBLIC,https://tr.wikipedia.org/wiki/Aktepe_Stadyumu,https://en.wikipedia.org/wiki/Ankara_Aktepe_Stadium
1059,Manisa 19 Mayıs Stadium,Turkey,en,tr,T.C. Gençlik ve Spor Bakanlığı,native:tr,PUBLIC,https://tr.wikipedia.org/wiki/Manisa_19_May%C4%B1s_Stadyumu,https://en.wikipedia.org/wiki/Manisa_19_Mayıs_Stadium
1065,Ümraniye Municipality City Stadium,Turkey,tr,tr,,none,UNKNOWN,,https://tr.wikipedia.org/wiki/Ümraniye_Belediyesi_Şehir_Stadyumu
1066,Van Atatürk Stadium,Turkey,tr,tr,Gençlik ve Spor Bakanlığı,primary,PUBLIC,,https://tr.wikipedia.org/wiki/Van_Atatürk_Stadyumu
