id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
817,Anzhi Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Anzhi_Arena
818,VTB Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/VTB_Arena
819,Ozon Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Krasnodar_Stadium
820,Solidarnost Samara Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Solidarnost_Samara_Arena
821,RZD Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Lokomotiv_Stadium_(Moscow)
822,Gazovik,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Gazovik_Stadium_(Orenburg)
823,Sovcombank Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Nizhny_Novgorod_Stadium
824,Rostov Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Rostov_Arena
825,Ak Bars Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ak_Bars_Arena
826,Fisht Olympic Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Fisht_Olympic_Stadium
827,Lukoil Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Lukoil_Arena
828,Gazprom Arena,Russia,RETRACTABLE,high,retractable roof,primary,https://en.wikipedia.org/wiki/Krestovsky_Stadium
829,Vitebsky CSK,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Vitebsky_Central_Sport_Complex
830,Borisov Arena,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Borisov_Arena
831,Dinamo Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Dinamo_Stadium_(Minsk)
832,OSK Brestsky,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Regional_Sport_Complex_Brestsky
833,Torpedo Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Torpedo_Stadium_(Zhodino)
834,Yunost Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yunost_Stadium_(Mazyr)
835,Central Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Central_Stadium_(Gomel)
836,Neman Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Neman_Stadium
837,FC Minsk Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/FC_Minsk_Stadium
838,Spartak Stadium Mogilev,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Spartak_Stadium_(Mogilev)
841,Atlant Stadium,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Atlant_Stadium
842,Spartak Stadium Bobruisk,Belarus,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Spartak_Stadium_(Bobruisk)
843,Dalga Arena,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Dalga_Arena
844,Gabala City Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Gabala_City_Stadium
846,Ganja City Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ganja_City_Stadium
847,Yevlakh City Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yevlakh_City_Stadium
848,Neftchi Arena,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Neft%C3%A7i_Arena
849,Tofiq Bahramov Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tofiq_Bahramov_Republican_Stadium
850,Bank Respublika Arena,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Bank_Respublika_Arena
852,Mehdi Huseynzade Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sumgayit_City_Stadium
853,Tovuz City Stadium,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tovuz_City_Stadium
854,Zira Olympic Sport Complex,Azerbaijan,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Zira_Olympic_Sport_Complex_Stadium
855,Tengiz Burjanadze Stadium,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Tengiz_Burjanadze_Stadium
856,Adjarabet Arena,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Adjarabet_Arena
860,Fazisi Stadium,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Fazisi_Stadium
862,Givi Chokheli Stadium,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Municipal_Stadium_(Telavi)
863,Ramaz Shengelia Stadium,Georgia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ramaz_Shengelia_Stadium
