id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
1034,Chayka Stadium,Russia,OPEN,low(default),,default,https://ru.wikipedia.org/wiki/Центральный_стадион_имени_И._П._Чайки
1035,Central Stadium,Russia,OPEN,low(default),,default,"https://ru.wikipedia.org/wiki/Центральный_(стадион,_Челябинск)"
1037,Tsentralny Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Fakel_Stadium
1038,Central Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/KAMAZ_Stadium
1039,Neftekhimik Stadium,Russia,OPEN,low(default),,default,https://ru.wikipedia.org/wiki/Нефтехимик_(стадион)
1040,Sapsan Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sapsan_Arena
1041,Volgograd Arena,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Volgograd_Arena
1042,Shinnik Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Shinnik_Stadium
1043,Lenin Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Lenin_Stadium_(Khabarovsk)
1044,Lokomotiv Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Lokomotiv_Stadium_(Saratov)
1045,Urozhay Stadium,Russia,OPEN,low(default),,default,"https://ru.wikipedia.org/wiki/Урожай_(стадион,_Караваево)"
1046,Eduard Streltsov Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Eduard_Streltsov_Stadium
1047,Neftyanik Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Neftyanik_Stadium_(Ufa)
1048,Central Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Central_Stadium_(Yekaterinburg)
1049,Trud Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Trud_Stadium_(Ulyanovsk)
1050,Central Stadium,Russia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Central_Stadium_(Krasnoyarsk)
1051,Bolu Atatürk Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Bolu_Atatürk_Stadium
1052,Çorum City Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Çorum_Şehir_Stadyumu
1053,Kazım Karabekir Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Kazım_Karabekir_Stadium
1054,Esenler Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Esenler_Stadium
1055,Fuat Tosyalı Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Fuat_Tosyalı_Stadyumu
1056,Iğdır City Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Iğdır_Şehir_Stadyumu
1057,Esenyurt Necmi Kadıoğlu Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Esenyurt_Necmi_Kadıoğlu_Stadium
1058,Ankara Aktepe Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ankara_Aktepe_Stadium
1059,Manisa 19 Mayıs Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Manisa_19_Mayıs_Stadium
1060,Pendik Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Pendik_Stadium
1061,New Sakarya Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/New_Sakarya_Stadium
1062,Yusuf Ziya Öniş Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yusuf_Ziya_Öniş_Stadium
1064,New Sivas 4 Eylül Stadium,Turkey,OPEN,low(default),,default,https://en.wikipedia.org/wiki/New_Sivas_4_Eylül_Stadium
1065,Ümraniye Municipality City Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Ümraniye_Belediyesi_Şehir_Stadyumu
1066,Van Atatürk Stadium,Turkey,OPEN,low(default),,default,https://tr.wikipedia.org/wiki/Van_Atatürk_Stadyumu
