stadium_id,stadium_name,field_name,old_value,new_value
256,Gamla Ullevi,surface,,GRASS
981,Gandzasar Stadium,surface,,ARTIFICIAL
846,Ganja City Stadium,surface,,ARTIFICIAL
660,Gargždai Stadium,surface,,ARTIFICIAL
107,Gavagnin-Nocini,surface,,GRASS
822,Gazovik,surface,,ARTIFICIAL
828,Gazprom Arena,surface,,GRASS
920,GelreDome,surface,,GRASS
480,Gipedo Neapolis,surface,,GRASS
475,Gipedo Panetolikou,surface,,GRASS
125,Giuseppe Sivori,surface,,GRASS
862,Givi Chokheli Stadium,surface,,GRASS
988,Gjilan City Stadium,surface,,ARTIFICIAL
322,Goffertstadion,surface,,GRASS
501,Gradski Stadion u Borovu naselju,surface,,GRASS
641,Gradski stadion (Prijedor),surface,,GRASS
538,Gradski stadion Surdulica,surface,,ARTIFICIAL
1003,Green Stadium,surface,,GRASS
810,Grzegorz Lato Stadium,surface,,GRASS
876,Grünwalder Stadion,surface,,GRASS
983,Gyumri City Stadium,surface,,GRASS
800,Górnik Łęczna Stadium,surface,,GRASS
741,HS Orku völlurinn,surface,,GRASS
1000,HaMoshava Stadium,surface,,GRASS
779,Hampden Park,surface,,GRASS
335,Het Kuipje,surface,,GRASS
865,Heydar Aliyev Stadium,surface,,GRASS
628,Hietalahti Stadium,surface,,ARTIFICIAL
208,Hill Dickinson Stadium,surface,,GRASS
408,Hillsborough,surface,,GRASS
427,Holstein-Stadion,surface,,GRASS
454,Ibercaja Estadio,surface,,GRASS
451,Instalaciones de Zubieta,surface,,GRASS
1021,Inver Park,surface,,ARTIFICIAL
443,Ipurua,surface,,GRASS
878,Jahnstadion Regensburg,surface,,GRASS
630,Jakobstads Centralplan,surface,,ARTIFICIAL
910,Jan Louwers Stadion,surface,,ARTIFICIAL
1009,Jenner Park,surface,,ARTIFICIAL
670,KA-Völlur,surface,,GRASS
284,Kilmac Stadium at Dens Park,surface,,GRASS
788,King Baudouin Stadium,surface,,GRASS
523,Kolorcity Aréna,surface,,GRASS
922,Koning Willem II Stadion,surface,,GRASS
807,Konwiktorska Street Stadium,surface,,GRASS
237,La Cartuja,surface,,GRASS
448,La Rosaleda,surface,,GRASS
740,Lambhagavöllurinn,surface,,ARTIFICIAL
944,Lasesarre,surface,,GRASS
945,Lezama,surface,,GRASS
992,Liman Gegaj Stadium,surface,,ARTIFICIAL
368,Lokotrans Arena,surface,,GRASS
1025,Loughshore Hotel Arena,surface,,GRASS
880,Ludwigsparkstadion,surface,,GRASS
827,Lukoil Arena,surface,,GRASS
323,MAC³PARK stadion,surface,,GRASS
421,MERKUR SPIEL-ARENA,surface,,GRASS
1012,Maes Tegid,surface,,ARTIFICIAL
1059,Manisa 19 Mayıs Stadium,surface,,GRASS
250,Manuel Martínez Valero,surface,,GRASS
343,Maurice Dufrasne Stadion,surface,,GRASS
852,Mehdi Huseynzade Stadium,surface,,GRASS
572,Mestni stadion Fazanerija,surface,,GRASS
119,Mimmo Pavone e Alessandro Mariani,surface,,ARTIFICIAL
1023,Mourneview Park,surface,,GRASS
977,Municipal de Tarazona,surface,,ARTIFICIAL
378,Městský fotbalový stadion Miroslava Valenty,surface,,GRASS
376,Městský stadion,surface,,GRASS
367,Městský stadion - Vitkovice Aréna,surface,,GRASS
666,N1 Völlurinn,surface,,ARTIFICIAL
848,Neftchi Arena,surface,,GRASS
836,Neman Stadium,surface,,GRASS
1002,Netanya Stadium,surface,,GRASS
1004,Netanya Stadium,surface,,GRASS
1061,New Sakarya Stadium,surface,,GRASS
1064,New Sivas 4 Eylül Stadium,surface,,GRASS
866,New Tivoli,surface,,GRASS
969,Nou Estadi,surface,,GRASS
968,Nou Sardenya,surface,,ARTIFICIAL
898,Nouste Camp,surface,,GRASS
975,Nova Creu Alta,surface,,GRASS
961,Nuevo Mirador,surface,,GRASS
227,ORLEN Stadion im. Kazimierza Górskiego,surface,,GRASS
832,OSK Brestsky,surface,,GRASS
627,OSiR,surface,,GRASS
1017,Old Road Ground,surface,,GRASS
879,Ostseestadion,surface,,GRASS
819,Ozon Arena,surface,,GRASS
789,PGE Narodowy,surface,,GRASS
147,Parc des Princes,surface,,GRASS
887,Parc des Sports,surface,,GRASS
1006,Park Hall,surface,,ARTIFICIAL
918,Parkstad Limburg Stadion,surface,,GRASS
324,Philips Stadion,surface,,GRASS
978,Pinilla,surface,,GRASS
282,Pittodrie Stadium,surface,,GRASS
493,Poljud,surface,,GRASS
778,Principality Stadium,surface,,GRASS
383,Profertil Arena Hartberg,surface,,GRASS
786,Puskás Aréna,surface,,GRASS
651,Pärnu Rannastaadion,surface,,GRASS
821,RZD Arena,surface,,GRASS
863,Ramaz Shengelia Stadium,surface,,GRASS
