id,name,city,country,ownership,owner_note,wikipedia_url
850,Bank Respublika Arena,Baku,Azerbaijan,,,https://en.wikipedia.org/wiki/Bank_Respublika_Arena
865,Heydar Aliyev Stadium,Imishli District,Azerbaijan,,,https://en.wikipedia.org/wiki/Heydar_Aliyev_Stadium
852,Mehdi Huseynzade Stadium,Sumgait,Azerbaijan,,,https://en.wikipedia.org/wiki/Sumgayit_City_Stadium
841,Atlant Stadium,Novopolotsk,Belarus,,,https://en.wikipedia.org/wiki/Atlant_Stadium
833,Torpedo Stadium,Zhodzina,Belarus,,,https://en.wikipedia.org/wiki/Torpedo_Stadium_(Zhodino)
1006,Park Hall,Oswestry,England,,,https://en.wikipedia.org/wiki/Park_Hall_(Oswestry)
893,Stade de Roudourou,Guingamp,France,,,https://en.wikipedia.org/wiki/Stade_de_Roudourou
858,Sagarejo Central Stadium,Sagarejo,Georgia,,,
861,Tskaltubo Central Stadium,Tsqaltubo,Georgia,,,
882,WIRmachenDRUCK Arena,Aspach,Germany,,,https://en.wikipedia.org/wiki/WIRmachenDRUCK_Arena
872,Dietmar-Hopp-Stadion,Sinsheim,Germany,,,https://en.wikipedia.org/wiki/Dietmar-Hopp-Stadion
884,Sportclub Arena,Verl,Germany,,,https://en.wikipedia.org/wiki/Sportclub_Arena
669,Akranesvöllur,Akranes,Iceland,,,https://en.wikipedia.org/wiki/Akranesv%C3%B6llur
670,KA-Völlur,Akureyri,Iceland,,,https://en.wikipedia.org/wiki/KA-V%C3%B6llur
742,Vís Völlurinn,Akureyri,Iceland,,,https://en.wikipedia.org/wiki/%C3%9E%C3%B3rsv%C3%B6llur
667,Samsung völlurinn,Garðabær,Iceland,,,https://en.wikipedia.org/wiki/Stj%C3%B6rnuv%C3%B6llur
741,HS Orku völlurinn,Keflavík,Iceland,,,https://en.wikipedia.org/wiki/Keflav%C3%ADkurv%C3%B6llur
740,Lambhagavöllurinn,Reykjavík,Iceland,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk
663,Meistaravellir,Reykjavík,Iceland,,,https://en.wikipedia.org/wiki/KR-v%C3%B6llur
989,18 June Stadium,Klina,Kosovo,,,
992,Liman Gegaj Stadium,Malisheva,Kosovo,,,
994,Sami Kelmendi Stadium,Pristina,Kosovo,,,
712,Ta' Qali National Stadium,Ta' Qali,Malta,,,https://en.wikipedia.org/wiki/Ta%27_Qali_National_Stadium
947,Estadio Pedro Escartín,Guadalajara,Mexico,,,https://en.wikipedia.org/wiki/Pedro_Escart%C3%ADn
732,Cricova teren sintetic,Chișinău,Moldova,,,
908,Stadion De Vliert,'s-Hertogenbosch,Netherlands,,,https://en.wikipedia.org/wiki/De_Vliert
914,AFAS Trainingscomplex,Alkmaar,Netherlands,,,
911,De Oude Meerdijk,Emmen,Netherlands,,,https://en.wikipedia.org/wiki/De_Oude_Meerdijk
906,Cambuur Stadion,Leeuwarden,Netherlands,,,https://en.wikipedia.org/wiki/Cambuur_Stadion
917,Stadion De Geusselt,Maastricht,Netherlands,,,https://en.wikipedia.org/wiki/De_Geusselt
922,Koning Willem II Stadion,Tilburg,Netherlands,,,https://en.wikipedia.org/wiki/Koning_Willem_II_Stadion
916,Sportcomplex Zoudenbalch,Utrecht,Netherlands,,,https://nl.wikipedia.org/wiki/Sportcomplex_Zoudenbalch
1022,The Showgrounds,Coleraine,Northern Ireland,,,https://en.wikipedia.org/wiki/The_Showgrounds_(Coleraine)
1021,Inver Park,Larne,Northern Ireland,,,https://en.wikipedia.org/wiki/Inver_Park
806,Stadion Polonii Bytom,Bytom,Poland,,,
798,Stadion przy ulicy Rudnowskiej,Głogów,Poland,,,
800,Górnik Łęczna Stadium,Łęczna,Poland,,,
937,Estádio Aurélio Pereira,Alcochete,Portugal,,,
928,Estádio Dr. Machado de Matos,Felgueiras,Portugal,,,
930,Estádio do Lusitânia de Lourosa,Lourosa,Portugal,,,
940,Estádio do FC Vizela,Vizela,Portugal,,,
1035,Central Stadium,Chelyabinsk,Russia,,,"https://ru.wikipedia.org/wiki/Центральный_(стадион,_Челябинск)"
1038,Central Stadium,Naberezhnye Chelny,Russia,,,https://en.wikipedia.org/wiki/KAMAZ_Stadium
1039,Neftekhimik Stadium,Nizhnekamsk,Russia,,,https://ru.wikipedia.org/wiki/Нефтехимик_(стадион)
822,Gazovik,Orenburg,Russia,,,https://en.wikipedia.org/wiki/Gazovik_Stadium_(Orenburg)
1034,Chayka Stadium,Peschanokopskoye,Russia,,,https://ru.wikipedia.org/wiki/Центральный_стадион_имени_И._П._Чайки
1047,Neftyanik Stadium,Ufa,Russia,,,https://en.wikipedia.org/wiki/Neftyanik_Stadium_(Ufa)
1049,Trud Stadium,Ulyanovsk,Russia,,,https://en.wikipedia.org/wiki/Trud_Stadium_(Ulyanovsk)
963,Centro Deportivo Alcalá de Henares,Alcalá de Henares,Spain,,,
970,Estadio José Rico Pérez,Alicante,Spain,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Rico_P%C3%A9rez
962,El Maulí,Antequera,Spain,,,
944,Lasesarre,Barakaldo,Spain,,,
966,Estadio Cartagonova,Cartagena,Spain,,,
942,Espiñedo,O Carballiño,Spain,,,
951,Estadio O Couto,Ourense,Spain,,,
958,Estadio Reina Sofía,Salamanca,Spain,,,
964,El Palmar,Sanlúcar de Barrameda,Spain,,,
965,Ciudad Deportiva Luis del Sol,Seville,Spain,,,
956,El Prado,Talavera de la Reina,Spain,,,
978,Pinilla,Teruel,Spain,,,
972,El Pozuelo,Torremolinos,Spain,,,
1063,Serik İsmail Oğan Stadium,Serik,Turkey,,,
616,Girnyk,Kryvyi Rih,Ukraine,,,https://en.wikipedia.org/wiki/Hirnyk_Stadium_(Kryvyi_Rih)
621,Arena Livyi Bereg,Kyiv,Ukraine,,,https://en.wikipedia.org/wiki/Arena_Livyi_Bereh
