stadium_id,stadium_name,surface,surface_raw,source_url,wikipedia_url,transfermarkt_url,notes
971,Can Misses,,,,https://en.wikipedia.org/wiki/Estadi_Municipal_de_Can_Misses,https://www.transfermarkt.com/ud-ibiza/stadion/verein/13241,
1016,Cardiff International Sports Campus,,,,https://en.wikipedia.org/wiki/Cardiff_International_Sports_Campus,https://www.transfermarkt.com/cardiff-metropolitan-university-fc/stadion/verein/53152/saison_id/2025,
875,Carl-Benz-Stadion,,,,https://en.wikipedia.org/wiki/Carl-Benz-Stadion,https://www.transfermarkt.com/sv-waldhof-mannheim/stadion/verein/85,
111,Carlo Speroni,,,,https://it.wikipedia.org/wiki/Stadio_Carlo_Speroni,https://www.transfermarkt.com/aurora-pro-patria/stadion/verein/4146/saison_id/2025,
433,Carlos Belmonte,,,,https://en.wikipedia.org/wiki/Estadio_Carlos_Belmonte,https://www.transfermarkt.com/albacete-balompie/stadion/verein/1532,
333,Cegeka Arena,,,,https://en.wikipedia.org/wiki/Cegeka_Arena,https://www.transfermarkt.com/krc-genk/stadion/verein/1184,
835,Central Stadium,,,,https://en.wikipedia.org/wiki/Central_Stadium_(Gomel),https://www.transfermarkt.com/fk-gomel/stadion/verein/10694,
1036,Central Stadium,,,,"https://ru.wikipedia.org/wiki/Центральный_(стадион,_Новороссийск)",https://www.transfermarkt.com/chernomorets-novorossijsk/stadion/verein/5287/saison_id/2025,
963,Centro Deportivo Alcalá de Henares,,,,,https://www.transfermarkt.com/atletico-madrid-b/stadion/verein/3679,
985,Charentsavan City Stadium,,,,https://en.wikipedia.org/wiki/Charentsavan_City_Stadium,https://www.transfermarkt.com/fc-van/stadion/verein/74661,
586,Cherry Red Records Stadium,,,,https://en.wikipedia.org/wiki/Plough_Lane,https://www.transfermarkt.com/afc-wimbledon/stadion/verein/3884,
85,Ciro Vigorito,,,,https://en.wikipedia.org/wiki/Stadio_Ciro_Vigorito,https://www.transfermarkt.com/benevento-calcio/stadion/verein/4171/saison_id/2025,
